drug_name,category,common_dosages,side_effects,contraindications
"Ciprofloxacin","Fluoroquinolone","250mg, 500mg, 750mg","Tendon rupture, QT prolongation","Myasthenia gravis, Tizanidine use"
"Azithromycin","Macrolide Antibiotic","250mg, 500mg, 1000mg","GI upset, QT prolongation","Hepatic disease, QT prolongation"
"Tramadol","Opioid Analgesic","50mg, 100mg, 200mg ER","Nausea, Dizziness, Seizure risk","MAOIs, Seizure disorder"
"Trazodone","SARI Antidepressant","50mg, 100mg, 150mg, 300mg","Sedation, Orthostatic hypotension","MAOIs, Recovery phase MI"
"Duloxetine","SNRI Antidepressant","20mg, 30mg, 60mg","Nausea, Dry mouth, Fatigue","MAOIs, Hepatic impairment"
"Cephalexin","Cephalosporin","250mg, 500mg, 750mg","GI upset, Rash, C. diff risk","Cephalosporin allergy"
"Insulin Glargine","Long-acting Insulin","100 units/mL","Hypoglycemia, Lipodystrophy","Hypoglycemia"
"Escitalopram","SSRI Antidepressant","5mg, 10mg, 20mg","Nausea, Headache, Insomnia","MAOIs, QT prolongation"
"Rosuvastatin","Statin","5mg, 10mg, 20mg, 40mg","Myalgia, Headache","Active liver disease, Pregnancy"
"Doxycycline","Tetracycline Antibiotic","50mg, 100mg","Photosensitivity, GI upset","Pregnancy, Children <8 years"
"Clonazepam","Benzodiazepine","0.5mg, 1mg, 2mg","Sedation, Dependence, Ataxia","Narrow-angle glaucoma, Severe liver disease"
"Meloxicam","NSAID","7.5mg, 15mg","GI bleeding, Edema","NSAID allergy, Post-CABG surgery"
"Cetirizine","Antihistamine","5mg, 10mg","Drowsiness, Dry mouth","Severe renal impairment"
"Spironolactone","Potassium-sparing Diuretic","25mg, 50mg, 100mg","Hyperkalemia, Gynecomastia","Hyperkalemia, Renal failure"
"Diazepam","Benzodiazepine","2mg, 5mg, 10mg","Sedation, Dependence","Sleep apnea, Severe liver disease"
"Carvedilol","Alpha/Beta Blocker","3.125mg, 6.25mg, 12.5mg, 25mg","Dizziness, Bradycardia, Fatigue","Heart block, Decompensated HF"
"Venlafaxine","SNRI Antidepressant","37.5mg, 75mg, 150mg, 225mg","Nausea, HTN, Insomnia","MAOIs, Uncontrolled HTN"
"Allopurinol","Xanthine Oxidase Inhibitor","100mg, 200mg, 300mg","Rash, GI upset, Hepatotoxicity","Hypersensitivity, Azathioprine use"
"Digoxin","Cardiac Glycoside","0.125mg, 0.25mg","Nausea, Visual changes, Arrhythmia","Ventricular fibrillation, Heart block"
"Nitroglycerin","Anti-anginal","0.4mg SL, patches, ointment","Headache, Hypotension","PDE5 inhibitor use, Severe anemia"
"Morphine","Opioid Analgesic","5mg, 10mg, 15mg, 30mg","Respiratory depression, Constipation","Paralytic ileus, Severe asthma"
"Vancomycin","Glycopeptide Antibiotic","500mg, 750mg, 1000mg IV","Red man syndrome, Nephrotoxicity","Hypersensitivity"
"Heparin","Anticoagulant","5000u, 10000u SC; IV drip","Bleeding, HIT","Active bleeding, HIT history"
"Epinephrine","Sympathomimetic","0.3mg, 0.5mg EpiPen; 1mg/mL IV","Tachycardia, Anxiety, Tremor","None (life-saving)"
"Phenytoin","Anticonvulsant","50mg, 100mg, 200mg","Gingival hyperplasia, Ataxia","Sinus bradycardia, Heart block"
"Naproxen","NSAID","220mg, 250mg, 375mg, 500mg","GI bleeding, Edema, Headache","NSAID allergy, Post-CABG"
"Levofloxacin","Fluoroquinolone","250mg, 500mg, 750mg","Tendon rupture, QT prolongation","Myasthenia gravis"
"Bupropion","NDRI Antidepressant","75mg, 100mg, 150mg SR, 300mg XL","Insomnia, Dry mouth, Seizure risk","Seizure disorder, Eating disorders"
"Metronidazole","Nitroimidazole Antibiotic","250mg, 500mg","Metallic taste, GI upset, Neuropathy","1st trimester pregnancy, Alcohol use"
"Cyclobenzaprine","Muscle Relaxant","5mg, 7.5mg, 10mg","Drowsiness, Dry mouth","MAOIs, Hyperthyroidism"
"Glipizide","Sulfonylurea","5mg, 10mg","Hypoglycemia, Weight gain","Type 1 DKA"
"Quetiapine","Atypical Antipsychotic","25mg, 50mg, 100mg, 200mg, 300mg","Sedation, Weight gain, Metabolic syndrome","Dementia-related psychosis"
"Amitriptyline","TCA Antidepressant","10mg, 25mg, 50mg, 75mg, 100mg","Sedation, Dry mouth, Weight gain","MI recovery, MAOIs"
"Pregabalin","Anticonvulsant","25mg, 50mg, 75mg, 100mg, 150mg, 200mg, 300mg","Dizziness, Somnolence, Edema","Hypersensitivity"
"Valsartan","ARB","40mg, 80mg, 160mg, 320mg","Dizziness, Hyperkalemia","Pregnancy, Aliskiren use in diabetics"
"Lamotrigine","Anticonvulsant","25mg, 50mg, 100mg, 150mg, 200mg","Rash (SJS risk), Headache","Hypersensitivity"
"Topiramate","Anticonvulsant","25mg, 50mg, 100mg, 200mg","Cognitive dulling, Kidney stones, Weight loss","Metabolic acidosis, Pregnancy"
"Pioglitazone","Thiazolidinedione","15mg, 30mg, 45mg","Edema, Weight gain, Fractures","Heart failure (NYHA III/IV), Bladder cancer"
"Ezetimibe","Cholesterol Absorption Inhibitor","10mg","Diarrhea, Fatigue","Hypersensitivity, Statin combo caution"
"Diltiazem","Calcium Channel Blocker","30mg, 60mg, 90mg, 120mg, 180mg ER, 240mg ER","Edema, Bradycardia, Constipation","Sick sinus syndrome, Heart block"
"Verapamil","Calcium Channel Blocker","40mg, 80mg, 120mg, 240mg ER","Constipation, Bradycardia","Heart block, Severe LV dysfunction"
"Tamoxifen","SERM","10mg, 20mg","Hot flashes, DVT risk, Endometrial cancer","Pregnancy, DVT history"
"Ondansetron","5-HT3 Antagonist","4mg, 8mg, 24mg","Headache, Constipation, QT prolongation","QT prolongation, Apomorphine use"
"Dexamethasone","Corticosteroid","0.5mg, 0.75mg, 1mg, 4mg, 6mg, 10mg, 20mg","Hyperglycemia, Insomnia, Immunosuppression","Systemic fungal infections"
"Loratadine","Antihistamine","10mg","Headache, Drowsiness (rare)","Severe liver disease"
"Citalopram","SSRI Antidepressant","10mg, 20mg, 40mg","Nausea, QT prolongation","MAOIs, QT prolongation"
"Risperidone","Atypical Antipsychotic","0.25mg, 0.5mg, 1mg, 2mg, 3mg, 4mg","Weight gain, Sedation, EPS","Dementia-related psychosis"
"Finasteride","5-Alpha Reductase Inhibitor","1mg, 5mg","Sexual dysfunction, Gynecomastia","Pregnancy (women), Liver disease"
"Tamsulosin","Alpha-1 Blocker","0.4mg","Orthostatic hypotension, Retrograde ejaculation","Cataract surgery (floppy iris)"
"Colchicine","Anti-gout","0.6mg","Diarrhea, Nausea, Myelosuppression","Severe renal/hepatic, CYP3A4 inhibitors"
"Methotrexate","Antifolate / DMARD","2.5mg, 5mg, 7.5mg, 10mg, 15mg, 25mg","Hepatotoxicity, Myelosuppression, Stomatitis","Pregnancy, Liver disease, Immunodeficiency"
"Hydroxychloroquine","Antimalarial / DMARD","200mg, 400mg","Retinopathy, GI upset, Cardiomyopathy","Pre-existing retinopathy"
"Sulfasalazine","DMARD","500mg, 1000mg","GI upset, Headache, Rash","Sulfa allergy, Intestinal obstruction"
"Tacrolimus","Immunosuppressant","0.5mg, 1mg, 5mg; IV","Nephrotoxicity, Neurotoxicity, DM","Hypersensitivity"
"Mycophenolate","Immunosuppressant","250mg, 500mg, 750mg","GI upset, Leukopenia, Infections","Pregnancy, Hypersensitivity"
"Cyclosporine","Immunosuppressant","25mg, 50mg, 100mg","Nephrotoxicity, HTN, Gingival hyperplasia","Uncontrolled HTN, Malignancy"
"Potassium Chloride","Electrolyte Supplement","8mEq, 10mEq, 20mEq ER","GI upset, Hyperkalemia","Hyperkalemia, Renal failure"
"Iron Sulfate","Iron Supplement","325mg (65mg elemental)","Constipation, GI upset, Dark stools","Hemochromatosis, Hemosiderosis"
"Folic Acid","Vitamin Supplement","0.4mg, 0.8mg, 1mg","Generally well tolerated","Pernicious anemia (masks B12 deficiency)"
"Vitamin D3","Vitamin Supplement","400IU, 1000IU, 2000IU, 5000IU","Hypercalcemia (excess)","Hypercalcemia, Granulomatous disease"
"Calcium Carbonate","Calcium Supplement","500mg, 600mg, 750mg","Constipation, Hypercalcemia","Hypercalcemia, Kidney stones"
"Aspirin","Antiplatelet / NSAID","81mg, 325mg, 500mg","GI bleeding, Reye syndrome (children)","Bleeding disorders, Children with viral illness"
"Propranolol","Non-selective Beta Blocker","10mg, 20mg, 40mg, 60mg, 80mg","Fatigue, Bradycardia, Bronchospasm","Asthma, Heart block, Cardiogenic shock"
"Methylphenidate","CNS Stimulant","5mg, 10mg, 18mg, 20mg, 27mg, 36mg, 54mg","Insomnia, Appetite loss, HTN","Glaucoma, MAOIs, Motor tics"
"Atomoxetine","NRI (ADHD)","10mg, 18mg, 25mg, 40mg, 60mg, 80mg, 100mg","Nausea, Decreased appetite, Suicidality risk","MAOIs, Pheochromocytoma"
"Diphenhydramine","Antihistamine","25mg, 50mg","Sedation, Dry mouth, Urinary retention","Narrow-angle glaucoma, Newborns"
"Loperamide","Anti-diarrheal","2mg","Constipation, Abdominal pain","C. diff, Dysentery, Children <2"
"Bisacodyl","Stimulant Laxative","5mg, 10mg","Cramping, Diarrhea","Appendicitis, Bowel obstruction"
"Docusate","Stool Softener","50mg, 100mg","Throat irritation (liquid)","Mineral oil concurrent use"
"Polyethylene Glycol 3350","Osmotic Laxative","17g powder","Bloating, Cramping","Bowel obstruction"
"Lidocaine","Local Anesthetic","1%, 2% injection; 4% topical","Dizziness, Arrhythmia (IV)","Heart block, Amide anesthetic allergy"
"Baclofen","Muscle Relaxant","5mg, 10mg, 20mg","Drowsiness, Weakness, Nausea","Hypersensitivity"
"Fluconazole","Antifungal","50mg, 100mg, 150mg, 200mg","Headache, GI upset, Hepatotoxicity","QT prolongation, CYP interactions"
"Acyclovir","Antiviral","200mg, 400mg, 800mg","Nausea, Headache, Nephrotoxicity (IV)","Hypersensitivity"
"Oseltamivir","Antiviral (Influenza)","30mg, 45mg, 75mg","Nausea, Vomiting, Headache","Hypersensitivity"
"Nitrofurantoin","Urinary Antibiotic","50mg, 100mg","GI upset, Pulmonary toxicity, Neuropathy","eGFR <30, Pregnancy (term)"
"Fosfomycin","Urinary Antibiotic","3g single dose","Diarrhea, Headache","Severe renal impairment"
"Isosorbide Mononitrate","Nitrate","30mg, 60mg, 120mg ER","Headache, Hypotension","PDE5 inhibitor use, Cardiogenic shock"
"Fenofibrate","Fibrate","48mg, 54mg, 145mg, 160mg","Myalgia, GI upset, Liver enzymes","Severe renal/hepatic disease, Gallbladder"
"Triamcinolone","Corticosteroid","4mg; injectable; topical","Immunosuppression, Hyperglycemia","Systemic fungal infections"
"Meclizine","Antihistamine (Anti-vertigo)","12.5mg, 25mg","Drowsiness, Dry mouth","Hypersensitivity"
